,assemblies,libraries,min_bin_size
MOSAIC-MIME-BINNING-1803,MOSAIC-MIME-ASSEMBLY-1803,MOSAIC-MIME-DNA-2103;MOSAIC-MIME-DNA-3403;MOSAIC-MIME-DNA-3;MOSAIC-MIME-DNA-45;MOSAIC-MIME-DNA-1903;MOSAIC-MIME-DNA-2003;MOSAIC-MIME-DNA-803,0
MOSAIC-MIME-BINNING-1903,MOSAIC-MIME-ASSEMBLY-1903,MOSAIC-MIME-DNA-25;MOSAIC-MIME-DNA-17;MOSAIC-MIME-DNA-1403;MOSAIC-MIME-DNA-1303;MOSAIC-MIME-DNA-2603;MOSAIC-MIME-DNA-2503;MOSAIC-MIME-DNA-1503,0
MOSAIC-MIME-BINNING-2003,MOSAIC-MIME-ASSEMBLY-2003,MOSAIC-MIME-DNA-2503;MOSAIC-MIME-DNA-1703;MOSAIC-MIME-DNA-1303;MOSAIC-MIME-DNA-1203;MOSAIC-MIME-DNA-2603;MOSAIC-MIME-DNA-25;MOSAIC-MIME-DNA-1403,0
MOSAIC-MIME-BINNING-2103,MOSAIC-MIME-ASSEMBLY-2103,MOSAIC-MIME-DNA-25;MOSAIC-MIME-DNA-17;MOSAIC-MIME-DNA-1403;MOSAIC-MIME-DNA-1303;MOSAIC-MIME-DNA-2603;MOSAIC-MIME-DNA-2403;MOSAIC-MIME-DNA-1503,0
MOSAIC-MIME-BINNING-2203,MOSAIC-MIME-ASSEMBLY-2203,MOSAIC-MIME-DNA-2003;MOSAIC-MIME-DNA-1403;MOSAIC-MIME-DNA-1103;MOSAIC-MIME-DNA-1203;MOSAIC-MIME-DNA-2503;MOSAIC-MIME-DNA-2603;MOSAIC-MIME-DNA-1503,0
MOSAIC-MIME-BINNING-2303,MOSAIC-MIME-ASSEMBLY-2303,MOSAIC-MIME-DNA-2403;MOSAIC-MIME-DNA-17;MOSAIC-MIME-DNA-1503;MOSAIC-MIME-DNA-1303;MOSAIC-MIME-DNA-25;MOSAIC-MIME-DNA-2603;MOSAIC-MIME-DNA-1403,0
MOSAIC-MIME-BINNING-2403,MOSAIC-MIME-ASSEMBLY-2403,MOSAIC-MIME-DNA-2403;MOSAIC-MIME-DNA-17;MOSAIC-MIME-DNA-1403;MOSAIC-MIME-DNA-1303;MOSAIC-MIME-DNA-2603;MOSAIC-MIME-DNA-2503;MOSAIC-MIME-DNA-1503,0
MOSAIC-MIME-BINNING-2503,MOSAIC-MIME-ASSEMBLY-2503,MOSAIC-MIME-DNA-2403;MOSAIC-MIME-DNA-17;MOSAIC-MIME-DNA-1503;MOSAIC-MIME-DNA-1303;MOSAIC-MIME-DNA-2603;MOSAIC-MIME-DNA-25;MOSAIC-MIME-DNA-1403,0
MOSAIC-MIME-BINNING-2603,MOSAIC-MIME-ASSEMBLY-2603,MOSAIC-MIME-DNA-2603;MOSAIC-MIME-DNA-17;MOSAIC-MIME-DNA-1403;MOSAIC-MIME-DNA-1303;MOSAIC-MIME-DNA-25;MOSAIC-MIME-DNA-2503;MOSAIC-MIME-DNA-1503,0
MOSAIC-MIME-BINNING-2703,MOSAIC-MIME-ASSEMBLY-2703,MOSAIC-MIME-DNA-2603;MOSAIC-MIME-DNA-17;MOSAIC-MIME-DNA-1403;MOSAIC-MIME-DNA-1303;MOSAIC-MIME-DNA-25;MOSAIC-MIME-DNA-2403;MOSAIC-MIME-DNA-1503,0
MOSAIC-MIME-BINNING-2803,MOSAIC-MIME-ASSEMBLY-2803,MOSAIC-MIME-DNA-2703;MOSAIC-MIME-DNA-17;MOSAIC-MIME-DNA-1503;MOSAIC-MIME-DNA-1303;MOSAIC-MIME-DNA-25;MOSAIC-MIME-DNA-2503;MOSAIC-MIME-DNA-1403,0
MOSAIC-MIME-BINNING-2903,MOSAIC-MIME-ASSEMBLY-2903,MOSAIC-MIME-DNA-2103;MOSAIC-MIME-DNA-803;MOSAIC-MIME-DNA-45;MOSAIC-MIME-DNA-3;MOSAIC-MIME-DNA-2003;MOSAIC-MIME-DNA-17;MOSAIC-MIME-DNA-3403,0
MOSAIC-MIME-BINNING-3,MOSAIC-MIME-ASSEMBLY-3,MOSAIC-MIME-DNA-2503;MOSAIC-MIME-DNA-3;MOSAIC-MIME-DNA-903;MOSAIC-MIME-DNA-803;MOSAIC-MIME-DNA-2203;MOSAIC-MIME-DNA-1703;MOSAIC-MIME-DNA-603,0
MOSAIC-MIME-BINNING-3003,MOSAIC-MIME-ASSEMBLY-3003,MOSAIC-MIME-DNA-703;MOSAIC-MIME-DNA-1803;MOSAIC-MIME-DNA-1503;MOSAIC-MIME-DNA-1303;MOSAIC-MIME-DNA-3303;MOSAIC-MIME-DNA-3103;MOSAIC-MIME-DNA-1403,0
MOSAIC-MIME-BINNING-31,MOSAIC-MIME-ASSEMBLY-31,MOSAIC-MIME-DNA-2603;MOSAIC-MIME-DNA-17;MOSAIC-MIME-DNA-1403;MOSAIC-MIME-DNA-1303;MOSAIC-MIME-DNA-3303;MOSAIC-MIME-DNA-45;MOSAIC-MIME-DNA-1503,0
MOSAIC-MIME-BINNING-3103,MOSAIC-MIME-ASSEMBLY-3103,MOSAIC-MIME-DNA-703;MOSAIC-MIME-DNA-1803;MOSAIC-MIME-DNA-1403;MOSAIC-MIME-DNA-1203;MOSAIC-MIME-DNA-3103;MOSAIC-MIME-DNA-25;MOSAIC-MIME-DNA-1303,0
MOSAIC-MIME-BINNING-3203,MOSAIC-MIME-ASSEMBLY-3203,MOSAIC-MIME-DNA-603;MOSAIC-MIME-DNA-17;MOSAIC-MIME-DNA-1403;MOSAIC-MIME-DNA-1103;MOSAIC-MIME-DNA-3203;MOSAIC-MIME-DNA-3003;MOSAIC-MIME-DNA-1203,0
MOSAIC-MIME-BINNING-3303,MOSAIC-MIME-ASSEMBLY-3303,MOSAIC-MIME-DNA-903;MOSAIC-MIME-DNA-1803;MOSAIC-MIME-DNA-1503;MOSAIC-MIME-DNA-1403;MOSAIC-MIME-DNA-2603;MOSAIC-MIME-DNA-2403;MOSAIC-MIME-DNA-1303,0
MOSAIC-MIME-BINNING-3403,MOSAIC-MIME-ASSEMBLY-3403,MOSAIC-MIME-DNA-2603;MOSAIC-MIME-DNA-903;MOSAIC-MIME-DNA-803;MOSAIC-MIME-DNA-703;MOSAIC-MIME-DNA-2003;MOSAIC-MIME-DNA-1503;MOSAIC-MIME-DNA-3403,0
MOSAIC-MIME-BINNING-45,MOSAIC-MIME-ASSEMBLY-45,MOSAIC-MIME-DNA-2503;MOSAIC-MIME-DNA-3;MOSAIC-MIME-DNA-803;MOSAIC-MIME-DNA-903;MOSAIC-MIME-DNA-2103;MOSAIC-MIME-DNA-17;MOSAIC-MIME-DNA-703,0
MOSAIC-MIME-BINNING-603,MOSAIC-MIME-ASSEMBLY-603,MOSAIC-MIME-DNA-2503;MOSAIC-MIME-DNA-17;MOSAIC-MIME-DNA-1503;MOSAIC-MIME-DNA-1303;MOSAIC-MIME-DNA-903;MOSAIC-MIME-DNA-3;MOSAIC-MIME-DNA-1403,0
MOSAIC-MIME-BINNING-703,MOSAIC-MIME-ASSEMBLY-703,MOSAIC-MIME-DNA-2503;MOSAIC-MIME-DNA-17;MOSAIC-MIME-DNA-1403;MOSAIC-MIME-DNA-1303;MOSAIC-MIME-DNA-3303;MOSAIC-MIME-DNA-903;MOSAIC-MIME-DNA-1503,0
MOSAIC-MIME-BINNING-803,MOSAIC-MIME-ASSEMBLY-803,MOSAIC-MIME-DNA-2103;MOSAIC-MIME-DNA-3403;MOSAIC-MIME-DNA-703;MOSAIC-MIME-DNA-803;MOSAIC-MIME-DNA-1903;MOSAIC-MIME-DNA-2003;MOSAIC-MIME-DNA-903,0
MOSAIC-MIME-BINNING-903,MOSAIC-MIME-ASSEMBLY-903,MOSAIC-MIME-DNA-2603;MOSAIC-MIME-DNA-17;MOSAIC-MIME-DNA-1503;MOSAIC-MIME-DNA-1303;MOSAIC-MIME-DNA-3203;MOSAIC-MIME-DNA-31;MOSAIC-MIME-DNA-1403,0
MOSAIC-MIME-BINNING-ClusterAss-1,MOSAIC-MIME-ASSEMBLY-ClusterAss-1,MOSAIC-MIME-DNA-1003;MOSAIC-MIME-DNA-1203;MOSAIC-MIME-DNA-1303;MOSAIC-MIME-DNA-1503;MOSAIC-MIME-DNA-1603;MOSAIC-MIME-DNA-1703;MOSAIC-MIME-DNA-17;MOSAIC-MIME-DNA-25;MOSAIC-MIME-DNA-3003;MOSAIC-MIME-DNA-3103;MOSAIC-MIME-DNA-31;MOSAIC-MIME-DNA-3303;MOSAIC-MIME-DNA-603;MOSAIC-MIME-DNA-703;MOSAIC-MIME-DNA-903,megahit,bbnorm,False,2500
MOSAIC-MIME-BINNING-ClusterAss-2,MOSAIC-MIME-ASSEMBLY-ClusterAss-2,MOSAIC-MIME-DNA-1103;MOSAIC-MIME-DNA-1403;MOSAIC-MIME-DNA-1803;MOSAIC-MIME-DNA-2903;MOSAIC-MIME-DNA-3403;MOSAIC-MIME-DNA-3;MOSAIC-MIME-DNA-45;MOSAIC-MIME-DNA-803,megahit,bbnorm,False,2500
MOSAIC-MIME-BINNING-ClusterAss-3,MOSAIC-MIME-ASSEMBLY-ClusterAss-3,MOSAIC-MIME-DNA-1903;MOSAIC-MIME-DNA-2003;MOSAIC-MIME-DNA-2103;MOSAIC-MIME-DNA-2203;MOSAIC-MIME-DNA-2303;MOSAIC-MIME-DNA-2403;MOSAIC-MIME-DNA-2503;MOSAIC-MIME-DNA-2603;MOSAIC-MIME-DNA-2703;MOSAIC-MIME-DNA-2803;MOSAIC-MIME-DNA-3203,megahit,bbnorm,False,2500
